property,property,property,property,actual,predicted
3584,1638,2406,716,Iris-versicolor,Iris-versicolor
2560,1689,716,102,Iris-setosa,Iris-versicolor
2918,1331,1792,512,Iris-versicolor,Iris-versicolor
2969,1382,2099,512,Iris-versicolor,Iris-versicolor
2457,1740,972,102,Iris-setosa,Iris-versicolor
2764,1996,870,204,Iris-setosa,Iris-versicolor
3276,1638,2304,768,Iris-versicolor,Iris-versicolor
2508,1536,716,102,Iris-setosa,Iris-versicolor
3174,1126,2304,768,Iris-versicolor,Iris-versicolor
2816,2150,716,102,Iris-setosa,Iris-versicolor
2918,1433,2304,665,Iris-versicolor,Iris-versicolor
2816,1228,1894,512,Iris-versicolor,Iris-versicolor
2508,1587,768,51,Iris-setosa,Iris-versicolor
2508,1587,768,51,Iris-setosa,Iris-versicolor
2560,1843,716,102,Iris-setosa,Iris-versicolor
2611,1945,972,204,Iris-setosa,Iris-versicolor
3072,1740,2304,819,Iris-versicolor,Iris-versicolor
3020,1536,2150,768,Iris-versicolor,Iris-versicolor
2457,1587,819,102,Iris-setosa,Iris-versicolor
2611,1280,1536,563,Iris-versicolor,Iris-versicolor
2406,1638,665,102,Iris-setosa,Iris-versicolor
2918,1945,870,153,Iris-setosa,Iris-versicolor
3379,1536,2252,716,Iris-versicolor,Iris-versicolor
2508,1228,1689,512,Iris-versicolor,Iris-versicolor
2406,1638,819,102,Iris-setosa,Iris-versicolor
2764,1894,768,102,Iris-setosa,Iris-versicolor
2560,1740,768,102,Iris-setosa,Iris-versicolor
3328,1433,2355,768,Iris-versicolor,Iris-versicolor
2713,1894,768,102,Iris-setosa,Iris-versicolor
3123,1536,2355,716,Iris-versicolor,Iris-versicolor
3225,1177,2252,665,Iris-versicolor,Iris-versicolor
2867,1536,2099,665,Iris-versicolor,Iris-versicolor
2918,1484,2150,665,Iris-versicolor,Iris-versicolor
3430,1536,2560,870,Iris-versicolor,Iris-versicolor
2764,1536,2304,768,Iris-versicolor,Iris-versicolor
2560,1740,819,204,Iris-setosa,Iris-versicolor
3532,1587,2508,768,Iris-versicolor,Iris-versicolor
3276,1484,2201,665,Iris-versicolor,Iris-versicolor
2560,1177,1689,512,Iris-versicolor,Iris-versicolor
2969,1382,1996,614,Iris-versicolor,Iris-versicolor
2918,1433,2099,665,Iris-versicolor,Iris-versicolor
3123,1433,2048,665,Iris-versicolor,Iris-versicolor
2355,1638,716,102,Iris-setosa,Iris-versicolor
2304,1177,665,153,Iris-setosa,Iris-versicolor
2457,1536,716,153,Iris-setosa,Iris-versicolor
2969,2048,614,102,Iris-setosa,Iris-versicolor
3072,1484,2304,768,Iris-versicolor,Iris-versicolor
3430,1587,2252,716,Iris-versicolor,Iris-versicolor
2867,1536,2304,768,Iris-versicolor,Iris-versicolor
2560,1024,1792,512,Iris-versicolor,Iris-versicolor
2560,1792,819,307,Iris-setosa,Iris-versicolor
2764,1740,870,102,Iris-setosa,Iris-versicolor
2918,2252,768,204,Iris-setosa,Iris-versicolor
2355,1740,716,153,Iris-setosa,Iris-versicolor
3072,1382,2611,819,Iris-versicolor,Iris-versicolor
3430,1587,2406,768,Iris-versicolor,Iris-versicolor
3072,1126,2048,512,Iris-versicolor,Iris-versicolor
2662,2099,768,51,Iris-setosa,Iris-versicolor
2662,1792,768,102,Iris-setosa,Iris-versicolor
3225,1280,2508,768,Iris-versicolor,Iris-versicolor
2764,1740,768,204,Iris-setosa,Iris-versicolor
2867,1484,1843,665,Iris-versicolor,Iris-versicolor
2355,1587,768,102,Iris-setosa,Iris-versicolor
3225,1689,2406,819,Iris-versicolor,Iris-versicolor
2611,1792,716,102,Iris-setosa,Iris-versicolor
2611,1894,768,204,Iris-setosa,Iris-versicolor
2662,1382,1996,716,Iris-versicolor,Iris-versicolor
2867,1280,1996,563,Iris-versicolor,Iris-versicolor
2611,1945,768,153,Iris-setosa,Iris-versicolor
2662,1740,716,102,Iris-setosa,Iris-versicolor
3379,1484,2355,665,Iris-versicolor,Iris-versicolor
2560,1536,819,102,Iris-setosa,Iris-versicolor
2611,1945,819,102,Iris-setosa,Iris-versicolor
2508,1587,768,51,Iris-setosa,Iris-versicolor
2969,1331,2048,614,Iris-versicolor,Iris-versicolor
2252,1484,716,102,Iris-setosa,Iris-versicolor
2611,1792,716,153,Iris-setosa,Iris-versicolor
2355,1843,512,102,Iris-setosa,Iris-versicolor
2816,1792,665,102,Iris-setosa,Iris-versicolor
2611,1740,768,102,Iris-setosa,Iris-versicolor
