property,property,property,property,actual,predicted
25.2,13.2,18.8,6.4,Iris-setosa,Iris-setosa
20.4,15.2,6.4,0.8,Iris-setosa,Iris-setosa
18,9.2,5.2,1.2,Iris-setosa,Iris-setosa
19.2,12,5.6,0.4,Iris-setosa,Iris-setosa
20.8,10.8,15.6,5.6,Iris-setosa,Iris-setosa
20,13.2,5.6,0.8,Iris-setosa,Iris-setosa
18.4,14.4,4,0.8,Iris-setosa,Iris-setosa
19.6,12.4,6,0.4,Iris-setosa,Iris-setosa
20,14,5.2,1.2,Iris-setosa,Iris-setosa
20.4,15.2,6,1.2,Iris-setosa,Iris-setosa
22,16.8,5.6,0.8,Iris-setosa,Iris-setosa
20,9.2,13.2,4,Iris-setosa,Iris-setosa
20.8,13.6,5.6,0.8,Iris-setosa,Iris-setosa
17.6,11.6,5.6,0.8,Iris-setosa,Iris-setosa
25.6,12.8,18,6,Iris-setosa,Iris-setosa
22,9.6,14.8,4,Iris-setosa,Iris-setosa
19.6,12,5.6,0.8,Iris-setosa,Iris-setosa
18.8,12.8,6.4,0.8,Iris-setosa,Iris-setosa
18.8,12.8,5.2,0.8,Iris-setosa,Iris-setosa
22.8,15.2,6.8,1.2,Iris-setosa,Iris-setosa
22.8,12,16.8,4.8,Iris-setosa,Iris-setosa
20,12,6.4,0.8,Iris-setosa,Iris-setosa
27.6,12.4,19.6,6,Iris-setosa,Iris-setosa
21.6,14.8,6,0.8,Iris-setosa,Iris-setosa
22.8,11.2,18,5.2,Iris-setosa,Iris-setosa
20.4,14,5.6,0.8,Iris-setosa,Iris-setosa
20,13.6,6.4,1.6,Iris-setosa,Iris-setosa
21.6,15.6,5.2,1.6,Iris-setosa,Iris-setosa
21.6,15.6,6.8,1.6,Iris-setosa,Iris-setosa
19.2,13.6,7.6,0.8,Iris-setosa,Iris-setosa
20,14,6.4,2.4,Iris-setosa,Iris-setosa
22.8,10.4,14,4,Iris-setosa,Iris-setosa
25.2,10,19.6,6,Iris-setosa,Iris-setosa
20.4,10,12,4.4,Iris-setosa,Iris-setosa
19.6,9.6,13.2,4,Iris-setosa,Iris-setosa
26.4,12,17.6,5.6,Iris-setosa,Iris-setosa
27.2,11.2,19.2,5.6,Iris-setosa,Iris-setosa
22.8,17.6,6,1.6,Iris-setosa,Iris-setosa
25.6,11.6,17.2,5.2,Iris-setosa,Iris-setosa
23.6,12.8,19.2,7.2,Iris-setosa,Iris-setosa
22.4,11.6,14.4,5.2,Iris-setosa,Iris-setosa
22.8,11.2,16.4,5.2,Iris-setosa,Iris-setosa
26.8,12,20,6.8,Iris-setosa,Iris-setosa
22,10,16,5.2,Iris-setosa,Iris-setosa
19.2,12,5.6,1.2,Iris-setosa,Iris-setosa
19.2,12.4,6.4,0.8,Iris-setosa,Iris-setosa
18.4,12.8,5.6,0.8,Iris-setosa,Iris-setosa
26.8,12.4,17.6,5.6,Iris-setosa,Iris-setosa
22.4,12,18,6,Iris-setosa,Iris-setosa
24,8.8,16,4,Iris-setosa,Iris-setosa
23.6,12,16.8,6,Iris-setosa,Iris-setosa
21.6,12,18,6,Iris-setosa,Iris-setosa
23.2,10.8,16.4,4,Iris-setosa,Iris-setosa
20.4,13.6,6,0.8,Iris-setosa,Iris-setosa
22.4,12,16.4,5.2,Iris-setosa,Iris-setosa
23.2,10.4,16,4.8,Iris-setosa,Iris-setosa
17.6,12,5.2,0.8,Iris-setosa,Iris-setosa
22,9.2,16,5.2,Iris-setosa,Iris-setosa
20.8,14,6,0.8,Iris-setosa,Iris-setosa
24,10.8,20.4,6.4,Iris-setosa,Iris-setosa
20,8,14,4,Iris-setosa,Iris-setosa
22.8,11.6,16.8,5.2,Iris-setosa,Iris-setosa
24.4,11.6,18.8,5.6,Iris-setosa,Iris-setosa
20.4,14,5.6,1.2,Iris-setosa,Iris-setosa
22.4,10,15.6,4.4,Iris-setosa,Iris-setosa
28,12.8,18.8,5.6,Iris-setosa,Iris-setosa
22.4,10.8,16.8,5.2,Iris-setosa,Iris-setosa
20,13.6,6,0.8,Iris-setosa,Iris-setosa
17.2,12,4.4,0.4,Iris-setosa,Iris-setosa
24.8,8.8,18,6,Iris-setosa,Iris-setosa
18.4,12.4,6,0.8,Iris-setosa,Iris-setosa
24.4,11.2,18.8,4.8,Iris-setosa,Iris-setosa
26,11.2,18.4,6,Iris-setosa,Iris-setosa
24,11.6,18,6,Iris-setosa,Iris-setosa
20.8,16.4,6,0.4,Iris-setosa,Iris-setosa
22,14,5.2,0.8,Iris-setosa,Iris-setosa
19.6,12.4,6,0.4,Iris-setosa,Iris-setosa
20,12.8,4.8,0.8,Iris-setosa,Iris-setosa
20.4,13.2,6.8,2,Iris-setosa,Iris-setosa
21.6,13.6,6.8,0.8,Iris-setosa,Iris-setosa
